,ID,title,verified,stars,body,date,Month,Year,Mentioned purchase time?,Mentioned battery and reliability info?,Review was updated?,"In box problem, no problem, out of box problem? (-1, 0, 1)",Problem with equipment/accesories?,Problem with customer service?,Comments,"How many months between purchase time and the review submission date? (1-less than 1 month, 2- 1 to 6 month, 3- 6 to 12 months, 4- more than 12 months)",Battery failure? 0 or 1
207,Roxon Drummond,Good product,Verified Purchase,5.0 out of 5 stars,"Looks brand new! However, the video sound isn’t playing thru the speaker.",25-Aug-22,August,2022,0,0,0,-1,0,0,,0,0
208,Lizmar,Yellow iPhone,Verified Purchase,5.0 out of 5 stars,I like everything,1-Sep-22,September,2022,0,0,0,0,0,0,,0,0
209,ROMULO LYRA,Came in great condition,Verified Purchase,5.0 out of 5 stars,Came in great condition,31-Aug-22,August,2022,0,0,0,0,0,0,,0,0
210,Devin,Perfect.,Verified Purchase,5.0 out of 5 stars,Great price for a practically new phone. Runs phenomenal and everything looks great.,24-Aug-22,August,2022,0,0,0,0,0,0,,0,0
211,Mitzi Higgs,it was not as big as i wanted,Verified Purchase,5.0 out of 5 stars,the size,2-Sep-22,September,2022,0,0,0,0,0,0,,0,0
212,Raziel Sandobal,Excelente,Verified Purchase,5.0 out of 5 stars,"Me pareció muy bueno el producto llevo 4 meses usándolo y no he tenido ningún tipo de problema, en estética le doy un 10/10. Es justo lo que buscaba :)",11-Aug-22,August,2022,,,,,,,,,0
213,Ruane Talibong,My daughter loves it,Verified Purchase,5.0 out of 5 stars,"There's a scratch on the screen but you won't notice it, and my daughter loves it. I was concerned about the battery life but it's fine, good as new.",12-Aug-22,August,2022,0,1,0,-1,0,0,,0,0
214,Sonny Lujan Jr.,Battery Health,Verified Purchase,4.0 out of 5 stars,"The media could not be loaded.
 Phone works perfect Switched SIM cards and set up easily Only fault is the battery health. Description before buying says 80% at least. Mine has 78% overall 3.5 stars",22-Jul-22,July,2022,0,1,0,-1,0,0,,0,1
215,Achia,Sim Card Tray Won’t Fit in Phone,Verified Purchase,4.0 out of 5 stars,"The package and overall condition was very professional. The phone is in great condition, but the only caveat is the SIM card tray doesn’t exactly fit in the phone; so I can’t use it for calls yet. Outside of this hiccup, the product is high quality.",23-Jun-22,June,2022,0,0,0,-1,0,0,,0,0
216,Kagan,Amazing phone at a solid price.,Verified Purchase,5.0 out of 5 stars,After almost 2 decades of using androids I finally decided to buy an iPhone. I didn't want to blow 1600 dollars on the iPhone 13 so I decided to buy an iPhone 11. its been 2 days and I'm somewhat still getting used to it but I will say that its looking to be one of the best phones I have ever had. This is a refurbished device and i did have some VERY light scratches on the screen but don't let that deter you away from getting one. All and all i am very satisfied with my first iPhone.,8-Jul-22,July,2022,1,0,0,-1,0,0,,1,0
217,Scooby,Fantastic,Verified Purchase,5.0 out of 5 stars,Bought the iPhone 11 for my wife and she loves it. She’s getting use to the new features and battery life is way above and beyond what other phones she’s had.,9-Aug-22,August,2022,0,1,0,0,0,0,,0,0
218,D.D.,Excelente!,Verified Purchase,5.0 out of 5 stars,The phone is in a excellent condition. And for that price I couldn’t asked for more. It didn’t come in the original box but that’s fine for me. The phone looks brand new and everything works fine.,5-Aug-22,August,2022,0,0,0,0,0,0,,0,0
219,Laura Lifland,Cute,Verified Purchase,5.0 out of 5 stars,It is nice,30-Aug-22,August,2022,0,0,0,0,0,0,,0,0
220,Emmett Daniel Roden,Will Need New Battery,Verified Purchase,4.0 out of 5 stars,"It’s a great phone, but after dealing with my first one I bought on Amazon I’m still disappointed. I buy refurbished because it’s cheaper and better for the environment than buying brand new. With that said, I am struggling with the feeling now that I should have bought new! My first try on the iPhone 11 left me with a horrible battery and a scratchy screen. This one I hoped at least would have a 95% capacity for the battery. Instead it’s at 86%, so in the near future I’ll probably have to get a new battery for it. I’m starting to question whether it was worth it or not. It’s just frustrating because I had such a great experience buying my iPhone 6S on here. It should’ve been even better with such an upgrade!",30-Mar-22,March,2022,0,1,0,0,0,0,We considered the second phone.,0,0
221,Adam,It’s a good phone,Verified Purchase,3.0 out of 5 stars,"It’s just like many of the current iPhones with many the same features stays of the date and no finger ID but it does have Face ID, Make sure to get a Sim card for the provider you want this phone does not come with one and you’ll need it to get service",27-Sep-22,September,2022,0,0,0,0,0,0,,0,0
222,Colleen A. Cody,First time iPhone user. Very happy with refurbished purchase.,Verified Purchase,4.0 out of 5 stars,• Swift delivery• Phone in great shape physically (perfect!) and system clean and ready to customize for myself• Great entry price for a new iphone user• Battery charge hold seems good. I do not have a comparison.• Would purchase again from this seller.Thanks!!!!!,21-Jun-22,June,2022,0,1,0,0,0,0,,0,0
223,Shinecka Thomas,Great,Verified Purchase,5.0 out of 5 stars,Great,1-Sep-22,September,2022,0,0,0,0,0,0,,0,0
224,Noah,"Great phone, just can’t get past the battery life",Verified Purchase,3.0 out of 5 stars,"This phone came with zero cosmetic imperfections and I was quite pleased about that. However, only one of the speakers on the bottom actually produces sound, and the earpiece is so quiet that I always have to put people on speaker during phone calls, or just use headphones. However, that isn’t so bad, the only major issue for me is the battery life, I can charge this phone all night before work and by the time I get off at 2, the battery is at 50%, and my job doesn’t allow me to have my phone on the floor so it drains that quickly just from being on standby. Im considering either getting a refund or maybe exchanging it for the same phone, just hoping the next one doesn’t have similar issues.",16-Aug-22,August,2022,0,1,0,-1,0,0,,0,1
225,Amazon Customer,I felt this was a good buy for me,Verified Purchase,4.0 out of 5 stars,"The phone was in good condition. Zero marks or scratches and ready to set up right out of the box. The price beat ATT’s refurb and others. The battery was at 87%.. I was hoping for 90% or higher but thats okay. Overall, I am pleased with this purchase",19-Jun-22,June,2022,0,1,0,0,0,0,,0,0
226,bonbon1059,"So far, it's a perfect phone",Verified Purchase,5.0 out of 5 stars,"I was very skeptical about buying an iPhone off Amazon but so far it has turned out to be a great buy. I have transferred all my data from the iPhone 6 to the new iPhone 11 with no problems. It has been a very smooth process. I would recommend this phone to anyone. Plus, the seller was easy to reach by email and very responsive.",20-Jul-22,July,2022,0,0,0,0,0,0,,0,0
227,Xander,Never received the phone.,Verified Purchase,5.0 out of 5 stars,"I ordered another iPhone 11. I love it. But I never received this specific one. It’s a good phone, especially since it does not break the bank too much compared to the newer models. So my rating is based on the phone in general, not this specific one.",30-Jul-22,July,2022,0,0,0,0,0,0,,0,0
228,T. becker,Works so far,Verified Purchase,5.0 out of 5 stars,"I wish they put instructions in it, but I googled and figured it out",19-Aug-22,August,2022,0,0,0,0,0,0,,0,0
229,Kazziuz,"Just barely at 80% battery life, expected better",Verified Purchase,4.0 out of 5 stars,"Just barely at 80% battery life, expected better",21-Jul-22,July,2022,0,1,0,0,0,0,,0,1
230,Ryland Harris,Good Quality IPhone For A Reasonable Price,Verified Purchase,4.0 out of 5 stars,Battery life is great. Battery capacity was at 86% when received. Easy to transfer iCloud from my old 7 plus to 11. Have to get used to no fingerprint reader and face recognition.,25-Jun-22,June,2022,0,1,0,0,0,0,,0,0
231,J,Just as advertised!,Verified Purchase,5.0 out of 5 stars,"This phone is just what I needed and came just as advertised. The battery life is great, there were no scratches on the screen, and the phone works as it should. I just can’t bring myself to pay full price for a brand new phone but at the same time I still want a high-quality used one and this fits the bill perfectly.",23-Jul-22,July,2022,0,1,0,0,0,0,,0,0
232,Keontay Miller,There is a hardware problem causing phone not to work properly,Verified Purchase,3.0 out of 5 stars,"I loved almost everything about the phone it’s just there was one big problem when I got the phone there was an hardware problem going on with the phone, the Wi-Fi and Bluetooth would not work which is my made use and when I got it check I was told after rebooting and hard resetting the phone that it’s a hardware problem and to get it fix would be a total amount of $399 so they basically really suggested me to get a whole new phone which really made me upset because I would have to wait to have a phone now because of this problem and I’m really in need of a phone at the time so it would effect me to wait for my refund to be buy a new phone.",11-Aug-22,August,2022,0,0,0,-1,0,0,,0,0
233,Sue Wilson,Not too disappointed,Verified Purchase,4.0 out of 5 stars,"Phone came early. Easy setup. 88% battery life. I love it. No scratches or dings. Phone works great. Only reason I’m giving 4 stars is because when I make calls, the speaker is a little staticky. But since I barely use the phone because I mostly text, it doesn’t bother me as much. Only when I am actually on the phone talking to someone that I get annoyed. Static isn’t there when on speakerphone.If it wasn’t for the static during phone calls, I would have gave 5 stars.",12-May-22,May,2022,0,1,0,-1,0,0,,0,0
234,Joel,It keeps force restarting,Verified Purchase,4.0 out of 5 stars,Keeps force restarting,24-Jul-22,July,2022,0,0,0,-1,0,0,,0,0
235,Riley,"Great service, great product",Verified Purchase,5.0 out of 5 stars,"Bought an 11 from Hybrid IT because of their ratings/reviews. There was a hiccup in my order but their customer service was on it very quick. They were friendly and helpful, which I really appreciated. They got it all worked out and left me a happy camper with a beautiful refurbished phone that I probably couldn’t tell apart from a brand new one.",21-Jul-22,July,2022,0,0,0,0,0,0,,0,0
236,Bryan Coffman,There was a little scratch on the bottom right corner of the phone but besides that 5/5 stars,Verified Purchase,4.0 out of 5 stars,I love this I really recommend it’s like brand new almost and yeah 5/5 stars,12-Jul-22,July,2022,0,0,0,0,0,0,,0,0
237,Amazon Customer,Bad battery life everything else is good,Verified Purchase,4.0 out of 5 stars,So opened up the packet it was great but the life battery life is truly bad. So I’m getting it replaced.,30-Jun-22,June,2022,0,1,0,0,0,0,,0,1
238,Kiana Durham,don’t regret one bit,Verified Purchase,5.0 out of 5 stars,"i was super anxious buying this phone since i’ve never bought a refurbished phone but after my 6s decided to not work properly i decided to just risk it and buy this phone. and it’s literally the best decision i’ve made. there are 0 scratches on the phone, the battery life is at 100%, camera and speakers work great, i literally love this phone. if i have to buy another i’ll most likely buy from this store again :)",13-Jul-22,July,2022,0,1,0,0,0,0,,0,0
239,ATS,Like new!,Verified Purchase,5.0 out of 5 stars,"Impossible to believe that this was not a new phone. Very clean, looks like it was never used. They did a beautiful job! I've only used it for a day, so I may say something later, but for now I can say that I'm extremely pleased. This was a very fairly priced phone.",24-Jul-22,July,2022,1,0,0,0,0,0,,1,0
240,Luckny Jean,Health battery,Verified Purchase,4.0 out of 5 stars,Very good,18-Jul-22,July,2022,0,0,0,0,0,0,,0,0
241,José,Buena compra,Verified Purchase,4.0 out of 5 stars,"Excelente estado físico del celular, todo bien a excepción de la batería, condición de la batería al %87",4-Jul-22,July,2022,,,,,,,,,0
242,didar,camera,Verified Purchase,5.0 out of 5 stars,my phone camera circle was cracked,22-Aug-22,August,2022,0,0,0,-1,0,0,,0,0
243,Kenneth J.,Good phone,Verified Purchase,5.0 out of 5 stars,All good!!,26-Aug-22,August,2022,0,0,0,0,0,0,,0,0
244,Kendra King,Love it!!,Verified Purchase,5.0 out of 5 stars,I bought this item and was skeptical afterwards if it would meet my expectations but honestly it does!!!! I'm so happy I took the risk I couldn't be happier. I would definitely recommend to anyone.,1-Aug-22,August,2022,0,0,0,0,0,0,,0,0
245,Yahira Cruz,Great phone great price,Verified Purchase,5.0 out of 5 stars,Got it on time and set up was a breeze the phone is in great condition im happy with my purchase,11-Aug-22,August,2022,0,0,0,0,0,0,,0,0
246,Thanh Pham,brand new,Verified Purchase,5.0 out of 5 stars,It works perfectly! There are no scratches. I was expecting more out of the battery life but it is still great. All functions are perfect and I am very very happy with the purchase.,1-Aug-22,August,2022,0,1,0,0,0,0,,0,0
247,Jen,Great phone!,Verified Purchase,5.0 out of 5 stars,"This phone is great! I got it as my first phone for my daughter and she loves it! A couple of things about it though. First, the battery life is kind of bad, it goes down very quickly. But the charger that comes with it is AMAZING. This phone is excellent! If you're looking for a new phone, I recommend it. Just letting you know, though, the phone is pretty big and might not fit into girls' clothes pockets. Really, though, this phone is awesome!",9-Jul-22,July,2022,0,1,0,0,0,0,,0,1
248,Construction Consultant,Bought used but like new,Verified Purchase,5.0 out of 5 stars,Phone was in as new condition. Very pleased with purchase.,18-Aug-22,August,2022,0,0,0,0,0,0,,0,0
249,Matt Wade,Good affordable phone,Verified Purchase,5.0 out of 5 stars,Has a good battery life and is overall a quality phone,17-Aug-22,August,2022,0,1,0,0,0,0,,0,0
250,S,Good as new,Verified Purchase,5.0 out of 5 stars,Phone is perfect basically like buying it new. Comes with a charger and phone and that's it. Recommend buying a screen protector and case separately (since it's not included) so that it all comes together and you'll be ready to go,27-Jul-22,July,2022,0,0,0,0,1,0,"Although reviewer says it's ok, it is a problem with accessories that they mentioned case and screen protector were not included.",0,0
251,Amazon Customer,It was wrapped OK.,Verified Purchase,4.0 out of 5 stars,It got here OK. I just opened the package. That is all I know so far.,30-Jun-22,June,2022,0,0,0,0,0,0,,0,0
252,Jerry Fisherman,Best Iphone purchase to date,Verified Purchase,5.0 out of 5 stars,I hate upgrading when every new iphone is sold for crazy prices. I just wanted to find something new within my price range. I was definitely taking a chance by purchasing the phone refurbished but it was definitely worth it. Would really recommend especially because if for whatever reason you are not satisfied with your product you can return it and get a replacement or a guaranteed refund through amazon.,15-Jul-22,July,2022,0,0,0,0,0,0,,0,0
253,Amazon Customer,"Great phone, great price!!",Verified Purchase,5.0 out of 5 stars,Was a little skeptical about buying a refurbished phone but after reading the reviews I thought “ok I’ll try it”. So happy I did. It was so easy to set up and transfer from my old phone (IPhone 6). Love this phone😁,27-Jul-22,July,2022,0,0,0,0,0,0,,0,0
254,Claudia,Funciona en Latinoamérica,Verified Purchase,5.0 out of 5 stars,Funciono perfectamente en El Salvador 100% recomendado!!!,19-Aug-22,August,2022,,,,,,,,,0
255,Alaisha canty,WORTH IT,Verified Purchase,5.0 out of 5 stars,"At first I was a little Skeptical about this purchase but it got here so fast! This is the 3rd day in use out of the box and the phone is WONDERFUL! Battery, Screen, Camera is GREAT! Will be posting pics later .",26-Jul-22,July,2022,1,1,0,0,0,0,,1,0
256,Tj,Very nice,Verified Purchase,5.0 out of 5 stars,Phone came like new condition. Very satisfied.,19-Aug-22,August,2022,0,0,0,0,0,0,,0,0
257,August,Great phone,Verified Purchase,4.0 out of 5 stars,Great phone over all it works perfectly fine the battery health is 81 but besides that it a good phone it also came unlocked,17-Jun-22,June,2022,0,1,0,0,0,0,,0,0
258,Jose Olmos,Excelente dispositivo para su precio,Verified Purchase,4.0 out of 5 stars,"El dispositivo funciona bien, el único detalle es un rayón muy visible en la pantalla. Por lo menos con el protector de pantalla no se nota tanto. Por lo demás, todo excelente.",10-Jun-22,June,2022,,,,,,,,,0
259,Amy,Good except battery,Verified Purchase,3.0 out of 5 stars,"I understand that getting a used phone it won’t be perfect, but I would think that A refurbished phone would have a replaced battery. If I buy a phone and have to replace the battery, That’s an issue. For the cost of this used phone, it should’ve had a new battery.",17-Sep-22,September,2022,0,1,0,0,0,0,,0,1
260,racerboy1stnotlast,"Not a refurbished phone, just a used phone.",Verified Purchase,3.0 out of 5 stars,"I would not describe this phone to be in “excellent” condition. It has no scratches or blemishes on the outside, but has obvious signs of wear. The unit I received had a jammed volume down button. Speakers had dirt built up and sounded muffled. Also had tons of dirt built up in crevices around the camera. Quite gross. Battery showed 89% which is ok. IMO, a new iPhone 11 is well worth the extra 150 dollars.",31-Aug-22,August,2022,0,1,0,-1,0,0,,0,0
261,BERT BAGLEY,GREAT PHONE,Verified Purchase,5.0 out of 5 stars,WHAT CAN I SAY OTHER THAN THIS PHONE LOOKS AND PREFORMES LIKE BRAND NEW. THE BATTERY HEALTH 96%. PUT MY STRAIGHT TALK SIMS IN AND IT CONNECTED IMMEDIATELY. TOTALLTY UNLOCKED. THE PHONE EVEN CAME WITH A SCREEN PROTECTOR INSTALLED. THANK YOU BUYSPRY FOR A GREAT PHONE AND A GREAT PRICE.,21-Jul-22,July,2022,0,1,0,0,0,0,,0,0
262,Sebastian L.,Came with defect,Verified Purchase,3.0 out of 5 stars,"Whenever the iphone is on battery save mode and I get a call, the screen won't turn on. I have to hang up and call back everytime. Got use to it, but was kinda dissapointed the iphone was not fully functional. If you are in US and have the possibility to return it, by all means buy it, if not, then have in mind that this sort of disperfections can happen to your order.",1-Sep-22,September,2022,0,0,0,-1,0,0,,0,0
263,Javier,Esperaba más para ser condición excelente,Verified Purchase,3.0 out of 5 stars,El teléfono lo compré para mi esposa en condición excelente pero su batería resultó estar al 75 % sin contar que el pedido llegó retrasado y a una dirección incorrecta,22-Sep-22,September,2022,,,,,,,,,0
264,Curtney G.,Brand New !!!😁👌🏾,Verified Purchase,5.0 out of 5 stars,"I don’t usually write reviews but this time, I was really impressed, so here it is . Phone is basically new . I got the red version and couldn’t stop looking at it . Face ID , camera and everything works perfectly . Fantastic stuff !",22-Jul-22,July,2022,0,0,0,0,0,0,,0,0
265,Amazon Customer,Really good phone for the price!,Verified Purchase,5.0 out of 5 stars,"The phone came with 88% battery maximum capacity for battery health, but otherwise the phone is like new for what it is! There are a couple little scratches that are barely noticeable, but other than that it’s in great condition!",25-Jul-22,July,2022,0,1,0,0,0,0,,0,0
266,mabel alexander,Iphone11,Verified Purchase,5.0 out of 5 stars,"My grand daughter was here visiting this summer and she needed a different phone, so we looked on amazon and she found what she wanted. She said it was like a new phone. Thanks again.",28-Jul-22,July,2022,0,0,0,0,0,0,,0,0
267,Mr Jesus,Works great,Verified Purchase,5.0 out of 5 stars,"Works just like a new phone, very pleased with it",15-Aug-22,August,2022,0,0,0,0,0,0,,0,0
268,William Tatum,So far so goood,Verified Purchase,4.0 out of 5 stars,Few days in. Haven’t had any problems so far and the phone was in near perfect condition,24-Jun-22,June,2022,1,0,0,0,0,0,,1,0
269,Desertpilot,Works as intended,Verified Purchase,4.0 out of 5 stars,"Only dislike from this Amazon certified renewed device is the screen had been replaced.The glass screen protector I installed out of the box does not adhere/seal properly near the top as a result.Also, The kit would benefit by including the sim card tray removal pin. I already had one from other phone. But this is a no brainer to include for 5 cents Amazon people.Otherwise, it seems to function well, has good battery life, and included short lightning cable and block",25-Apr-22,April,2022,0,1,0,0,1,0,Screen was replaced is not a problem because it's not faulty.,0,0
270,SrdUnknown,Great,Verified Purchase,5.0 out of 5 stars,Love everything,22-Aug-22,August,2022,0,0,0,0,0,0,,0,0
271,Aracely,The phone is not new at all it had a few small scratches and 89% battery life but for $335 its ok,Verified Purchase,3.0 out of 5 stars,"The only thing I don't like is that the page says it's new when it really isn't, because the phone had some small marks on the sides like insignificant scratches but it had them and the battery life is at 89%, it really works perfect for what it costs on the page, which is 335 dollars, is fine if you compare it with the real price, it is between 600 and almost 700, so it is fine, I would just like them to clarify that on the page that they are not new and that people decide by reading that if they want to buy it or not",11-Aug-22,August,2022,0,1,0,0,0,0,,0,0
272,Dag007,Iphone 11 64gb,Verified Purchase,4.0 out of 5 stars,"El celular llego en excelentes condiciones, desbloqueado y con la cantidad de memoria que pedí. Lo unico malo es que llego con 84% de batería pero fuera de eso y por su precio es un ganga!",2-Jun-22,June,2022,,,,,,,,,0
273,Crisann,Love it,Verified Purchase,5.0 out of 5 stars,It amazing in all way,18-Aug-22,August,2022,0,0,0,0,0,0,,0,0
274,Beth,Not bad for the price,Verified Purchase,4.0 out of 5 stars,"Just wish the phone would’ve came with a little bit more battery life. I bought it a month ago with 88% battery life, and it’s already dropped down to 87%. Other reported theirs coming with 100%. But other than that it’s a great by in a pinch!",23-May-22,May,2022,1,1,0,0,0,0,,1,0
275,Gaby,Perfect,Verified Purchase,5.0 out of 5 stars,Excelent.Berry good,20-Aug-22,August,2022,0,0,0,0,0,0,,0,0
276,Lauren,Everything I was expecting,Verified Purchase,4.0 out of 5 stars,Battery life is good. Didn’t come damaged or cracked. Camera quality is great,29-Jun-22,June,2022,0,1,0,0,0,0,,0,0
277,karelys,recomendado,Verified Purchase,5.0 out of 5 stars,"buen articulo, sin ninguna raya, como nuevo, trajo protector de pantalla y un forro negro, vino en una caja resistente y como decía en la descripción incluye un cargador genérico nuevo, la batería funciona muy bien hasta los momentos no tengo nada negativo que decir. articulo recomendado",21-Jul-22,July,2022,,,,,,,,,0
278,lupe.g g.,the charger sent to me does not work. Am keeping the phone but would like a charger rerplaceent.,Verified Purchase,4.0 out of 5 stars,I like the phone but the charger does not work and I don't know how to go about getting a replacement.,14-Jun-22,June,2022,0,0,0,0,1,0,,0,0
279,Diego,I bought an iphone 11 and it came with a screen problem. 90% battery,Verified Purchase,4.0 out of 5 stars,I bought an iphone 11 and it came with a screen problem. 90% battery,27-Jun-22,June,2022,0,1,0,-1,0,0,,0,0
280,Tracy Regina,Nice phone,Verified Purchase,4.0 out of 5 stars,I did not use the Face recognition or fingerprint reader but I believe everything is working fine for me so far and I've only had my phone a few days...,5-Jun-22,June,2022,1,0,0,0,0,0,,1,0
281,Shanmm,Like new,Verified Purchase,5.0 out of 5 stars,I recently got this phone. It wasDelivered one day early and it looks like new. It only has one scratch ( tiny). Comes with a screen protector. It is definitely a win,27-Jul-22,July,2022,1,0,0,0,0,0,,1,0
282,Michael,Very Good condition,Verified Purchase,5.0 out of 5 stars,"I spent all together 388 with tax and everything. I’m very surprised by the quality. Only three things were off but it’s really not too important. Visible scratches around the back camera ring, it doesn’t harm the quality though. Another thing is that the Apple care was telling that the screen they repaired this phone with wasn’t a genuine Apple product, it looks fine and acts fine to me. And lastly a small crack in the screen but it’s nothing serious either. The battery life is 92% which is high compared to other phones I was looking at. Came with a charger and a SIM card pin. Overall great purchase!",16-Jun-22,June,2022,0,1,0,-1,0,0,Scratch around the camera is on the body and not an in-box problem.,0,0
283,jose r.,bad battery and no charger,Verified Purchase,5.0 out of 5 stars,bad battery and no charger,17-Aug-22,August,2022,0,1,0,0,1,0,,0,1
284,DaughterofGod,This is an AMAZING purchase!,Verified Purchase,5.0 out of 5 stars,The phone came with no scratches or scuffs in sight and it works perfect.,10-Aug-22,August,2022,0,0,0,0,0,0,,0,0
285,Joe l.,Great,Verified Purchase,5.0 out of 5 stars,"Great upgrade fair price, everything I expected",15-Aug-22,August,2022,0,0,0,0,0,0,,0,0
286,Britney,iPhone 11,Verified Purchase,4.0 out of 5 stars,I purchased this phone for my daughter. It had a few scratches on the screen but nothing major. It is refurbished so I can’t expect it to be perfect. So far the phone works with no problem.,31-May-22,May,2022,0,0,0,-1,0,0,,0,0
287,Dody,iPhone 11,Verified Purchase,4.0 out of 5 stars,"Good product overall, had some moderate damage, more than I spected for the price. Face ID has given me some issues. But overall, good phone.",12-Jun-22,June,2022,0,0,0,-1,0,0,,0,0
288,Kat Hennessey,"Product is visually okay, but has ton of issues",Verified Purchase,3.0 out of 5 stars,"There is nothing physically or visually with this product, but it has a LOT of issues. For one, the “display” isn’t from apple so I am FOREVER getting notifications about an “unknown part”. Then there’s the fact that I was moving from a 128gb phone to this 128gb phone, but somehow I was “out of storage” before all of my stuff even transferred over? I also have to fully turn it off and back on multiple times a day because half of my stuff will disappear and half of my apps will just turn white and not work. I’m no tech expert, but I’m not doing anything THAT wrong so it has to be a phone issue. Returning this as soon as I can get one thru Verizon (which I was hoping to avoid, but you clearly do get what you paid for so I’m gonna have to bite the bullet). Genuinely disappointed this didn’t work out for me 😕",1-Jul-22,July,2022,0,0,0,-1,0,0,,0,0
289,Andrew joseph Garrett,Legit buy ..,Verified Purchase,5.0 out of 5 stars,"My phone was stolen, and I needed a replacement quick, definitely happy with purchase..",10-Aug-22,August,2022,0,0,0,0,0,0,,0,0
290,Ken Iser,Solid Purchase,Verified Purchase,5.0 out of 5 stars,"To anyone skeptical: be a little less. The phone itself was in perfect condition. faceID works flawlessly. Truthfully, I cannot find one scratch or blemish. The only thing I wish was just a little better is the battery health, which came in at 89%. Otherwise, I cannot recommend this product or seller enough",16-Jul-22,July,2022,0,1,0,0,0,0,,0,0
291,Paul Elliott,Wonderful function,Verified Purchase,5.0 out of 5 stars,"This phone functioned very well right out of the box. It loaded from my iPhone 6 automatically with virtually no losses. All passwords, all applications, and all phone numbers transferred simply by having the two phones close together.The only thing it did not transfer was message history. As simply kept my old cell phone to check those when I needed to.The touch screen is much more responsive than my old cell phone and much faster.The battery life is good. I do not use facial recognition.I would buy from this seller again!",23-Jun-22,June,2022,0,1,0,0,0,0,,0,0
292,H. Teixeira,Great Product.,Verified Purchase,5.0 out of 5 stars,Happy with everything with the product renewed Apple 11 I Phone.Ease of transferring data from old phone presented no problems.,4-Aug-22,August,2022,0,0,0,0,0,0,,0,0
293,Dt974,The battery life is terrible.,Verified Purchase,3.0 out of 5 stars,"As soon as I opened my phone, I had continuous notifications about how degraded the battery life is. That is literally the only reason I bought a new phone.",19-Sep-22,September,2022,0,1,0,-1,0,0,The notification part is an in-box problem.,0,1
294,Vincent,Unexpected good as a renewed phone.,Verified Purchase,4.0 out of 5 stars,"It keeps a very good condition, almost 90% new. No obvious scratches were found. The performance of the iPhone 11 is still very good and can handle most tasks for daily use. Just a good deal at this price tag.",23-May-22,May,2022,0,0,0,0,0,0,,0,0
295,Angie Graeber,Great rehabbed phone!,Verified Purchase,4.0 out of 5 stars,"My teenager loves the phone. It arrived with no discernible scratches, good condition, and worksgreat! This fall I will be purchasing a newer phone for myself, so this is definitely a seller I will checkout at that time.",25-May-22,May,2022,0,0,0,0,0,0,,0,0
296,Jessica,Good!,Verified Purchase,4.0 out of 5 stars,"Phone itself is in great condition. No scratches, no cracks. Only issue I see right now is the battery life is at 85% which doesn’t seem too bad but I feel like with an iPhone the battery turns to crap real fast. Definitely recommend though.",19-May-22,May,2022,0,1,0,0,0,0,,0,0
297,Miguel Castro,Todo muy bien y de acuerdo a lo solicitado,Verified Purchase,5.0 out of 5 stars,"Todo muy bien, en excelente estado",15-Aug-22,August,2022,,,,,,,,,0
298,Charlie,Great working condition so far,Verified Purchase,4.0 out of 5 stars,Received my order today. Happy with the purchase. Battery health at 82%. Everything seems to be working as intended.,9-Jun-22,June,2022,1,1,0,0,0,0,,1,0
299,Kindle Customer SC,I love it!,Verified Purchase,5.0 out of 5 stars,"The first phone I received had a problem with the charging port so I sent it back and had no problems with the return at all and another phone was promptly sent with no questions asked. I was a little nervous buying a refurbished phone, but it is now over a month old and working great and I was quite pleased that it came early by Fed-X.The phone came in a nice box that had the iPhone, Apple charger, charging block, and a screen protector already installed on the phone. I transferred the Sim Card from my iPhone 6 into the new phone with no problem. I didn't need to have the phone activated and everything from my old phone transferred readily.I received everything I ordered: iPhone 11, 256 gb, red, and unlocked. The phone looks brand new, has no dents or scratches on the screen. The battery is at 89% but other than that it could be a new phone instead of a refurbished one. The cameras quality is amazing.This is a great phone for the price as I could not afford to buy it new. I am totally pleased with the service that I received and would definitely recommend buying a refurbished phone to anyone needing a new phone but not able to pay the price for a new one!",24-Feb-22,February,2022,1,1,0,0,0,0,We considered the second one.,2,0
300,Jessica Tafolla,LOVE,Verified Purchase,5.0 out of 5 stars,In love with my new iPhone 11! Came in earlier than expected (3 days) when unboxed came with charger and SIM card removal tool. No scratches looks brand new like it was never used. No problem with it so far “fingers crossed” hope to still be using it in the year 2023 in great condition :) my bf will be buying one ASAP! Hope his comes in great condition as well! To be fully honest I was contemplating and worried about purchasing it at first because I read some of the reviews but I really needed a new phone since I still had the iPhone 8 and the Apple Store is too pricey lol <3,8-Jun-22,June,2022,0,0,0,0,0,0,,0,0
301,Benjamin,Was all I expected,Verified Purchase,4.0 out of 5 stars,The phone was everything I expected only a few light scratches great battery health easy set up,10-Jun-22,June,2022,0,1,0,0,0,0,,0,0
302,Amazon Customer,Works great daughter loves it,Verified Purchase,5.0 out of 5 stars,Works great daughter loved it!,14-Aug-22,August,2022,0,0,0,0,0,0,,0,0
303,Gerson R,Battery life was at 83%,Verified Purchase,4.0 out of 5 stars,The phone works great. Minor scratches on the edge of the camera. Battery life could be better but for the price it's good. A charger was provided but no SIM card ejector tool was included which is fine since I have plenty of them. The phone came with a screen protector pre installed.,8-May-22,May,2022,0,1,0,-1,1,0,,0,0
304,Stella Biodun-Kuti,I also got a screen guard on it :),Verified Purchase,5.0 out of 5 stars,"It was amazing and nice, thank you",12-Aug-22,August,2022,0,0,0,0,0,0,,0,0
